id,title,overview,genres,keywords,poster_path,original_language,runtime,release_date,vote_average,popularity,cast,crew
201,Parasite,Greed and class tension explode when a poor family infiltrates a wealthy household.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""class""}, {""id"": 2, ""name"": ""family""}, {""id"": 3, ""name"": ""satire""}]",/m201.jpg,ko,132,2019-05-30,8.5,61.0,"[{""name"": ""Song Kang-ho""}]","[{""job"": ""Director"", ""name"": ""Bong Joon-ho""}]"
202,Train to Busan,Passengers fight to survive a zombie outbreak on a speeding train.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""zombie""}, {""id"": 2, ""name"": ""survival""}, {""id"": 3, ""name"": ""intense""}]",/m202.jpg,ko,118,2016-07-01,7.6,40.2,"[{""name"": ""Gong Yoo""}]","[{""job"": ""Director"", ""name"": ""Yeon Sang-ho""}]"
203,Decision to Leave,A detective falls for a murder suspect blurring duty desire and obsession.,"[{""id"": 1, ""name"": ""Romance""}, {""id"": 2, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""mystery""}, {""id"": 2, ""name"": ""obsession""}, {""id"": 3, ""name"": ""noir""}]",/m203.jpg,ko,138,2022-06-29,7.3,18.5,"[{""name"": ""Park Hae-il""}]","[{""job"": ""Director"", ""name"": ""Park Chan-wook""}]"
204,Past Lives,Two childhood friends reunite decades later and weigh paths not taken.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""nostalgia""}, {""id"": 2, ""name"": ""fate""}, {""id"": 3, ""name"": ""longing""}]",/m204.jpg,ko,106,2023-06-02,8.0,22.4,"[{""name"": ""Greta Lee""}]","[{""job"": ""Director"", ""name"": ""Celine Song""}]"
301,Spirited Away,A girl enters a spirit world and must work in a bathhouse to save her parents.,"[{""id"": 1, ""name"": ""Animation""}, {""id"": 2, ""name"": ""Fantasy""}]","[{""id"": 1, ""name"": ""magical""}, {""id"": 2, ""name"": ""coming-of-age""}, {""id"": 3, ""name"": ""wonder""}]",/m301.jpg,ja,125,2001-07-20,8.6,55.0,"[{""name"": ""Rumi Hiiragi""}]","[{""job"": ""Director"", ""name"": ""Hayao Miyazaki""}]"
302,Your Name,Two teenagers mysteriously swap bodies and search for each other across time.,"[{""id"": 1, ""name"": ""Animation""}, {""id"": 2, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""fate""}, {""id"": 2, ""name"": ""romance""}, {""id"": 3, ""name"": ""supernatural""}]",/m302.jpg,ja,106,2016-08-26,8.4,44.0,"[{""name"": ""Ryunosuke Kamiki""}]","[{""job"": ""Director"", ""name"": ""Makoto Shinkai""}]"
303,Drive My Car,A grieving actor directs a play and bonds with his reserved chauffeur.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""grief""}, {""id"": 2, ""name"": ""theatre""}, {""id"": 3, ""name"": ""healing""}]",/m303.jpg,ja,179,2021-08-20,7.6,19.2,"[{""name"": ""Hidetoshi Nishijima""}]","[{""job"": ""Director"", ""name"": ""Ryusuke Hamaguchi""}]"
304,Shoplifters,A poor family survives through small crimes until a secret reshapes their bonds.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""family""}, {""id"": 2, ""name"": ""poverty""}, {""id"": 3, ""name"": ""moral""}]",/m304.jpg,ja,121,2018-06-08,7.9,16.8,"[{""name"": ""Lily Franky""}]","[{""job"": ""Director"", ""name"": ""Hirokazu Kore-eda""}]"
401,Ponniyin Selvan: I,Epic Chola-era intrigue as warriors and royals battle for the throne.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""historical""}, {""id"": 2, ""name"": ""epic""}, {""id"": 3, ""name"": ""betrayal""}]",/m401.jpg,ta,167,2022-09-30,7.8,28.5,"[{""name"": ""Vikram""}]","[{""job"": ""Director"", ""name"": ""Mani Ratnam""}]"
402,Super Deluxe,Strangers collide in a wild day of crime faith and dark comedy.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""chaos""}, {""id"": 2, ""name"": ""morality""}, {""id"": 3, ""name"": ""twist""}]",/m402.jpg,ta,176,2019-03-29,8.3,12.4,"[{""name"": ""Vijay Sethupathi""}]","[{""job"": ""Director"", ""name"": ""Thiagarajan Kumararaja""}]"
403,96,Two school sweethearts meet again at a reunion stirring buried love and regret.,"[{""id"": 1, ""name"": ""Romance""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""nostalgia""}, {""id"": 2, ""name"": ""love""}, {""id"": 3, ""name"": ""reunion""}]",/m403.jpg,ta,158,2018-10-04,8.5,15.6,"[{""name"": ""Vijay Sethupathi""}]","[{""job"": ""Director"", ""name"": ""C. Prem Kumar""}]"
501,RRR,Two legendary revolutionaries unite against colonial rule in a spectacular epic.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""epic""}, {""id"": 2, ""name"": ""friendship""}, {""id"": 3, ""name"": ""freedom""}]",/m501.jpg,te,187,2022-03-25,7.8,47.0,"[{""name"": ""N. T. Rama Rao Jr.""}]","[{""job"": ""Director"", ""name"": ""S. S. Rajamouli""}]"
502,Baahubali: The Beginning,A displaced heir discovers his royal destiny amid war and betrayal.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Fantasy""}]","[{""id"": 1, ""name"": ""epic""}, {""id"": 2, ""name"": ""kingdom""}, {""id"": 3, ""name"": ""revenge""}]",/m502.jpg,te,159,2015-07-10,8.0,42.3,"[{""name"": ""Prabhas""}]","[{""job"": ""Director"", ""name"": ""S. S. Rajamouli""}]"
503,Jersey,A failed cricketer fights for one last innings to redeem himself for his son.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Sport""}]","[{""id"": 1, ""name"": ""sports""}, {""id"": 2, ""name"": ""redemption""}, {""id"": 3, ""name"": ""father""}]",/m503.jpg,te,157,2019-04-19,8.0,11.2,"[{""name"": ""Nani""}]","[{""job"": ""Director"", ""name"": ""Gowtam Tinnanuri""}]"
601,Drishyam,A father builds an elaborate cover story when his family faces a deadly secret.,"[{""id"": 1, ""name"": ""Thriller""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""family""}, {""id"": 2, ""name"": ""mystery""}, {""id"": 3, ""name"": ""clever""}]",/m601.jpg,ml,160,2013-12-19,8.4,24.0,"[{""name"": ""Mohanlal""}]","[{""job"": ""Director"", ""name"": ""Jeethu Joseph""}]"
602,Kumbalangi Nights,Four troubled brothers slowly open their hearts on a quiet backwater island.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""family""}, {""id"": 2, ""name"": ""healing""}, {""id"": 3, ""name"": ""brothers""}]",/m602.jpg,ml,135,2019-02-07,8.3,9.8,"[{""name"": ""Shane Nigam""}]","[{""job"": ""Director"", ""name"": ""Madhu C. Narayanan""}]"
701,Pan's Labyrinth,A girl escapes into a dark fairy world while Franco-era Spain rages outside.,"[{""id"": 1, ""name"": ""Fantasy""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""fairy tale""}, {""id"": 2, ""name"": ""war""}, {""id"": 3, ""name"": ""dark""}]",/m701.jpg,es,118,2006-10-11,8.2,33.5,"[{""name"": ""Ivana Baquero""}]","[{""job"": ""Director"", ""name"": ""Guillermo del Toro""}]"
702,The Secret in Their Eyes,A retired investigator revisits an unsolved murder and a love he never confessed.,"[{""id"": 1, ""name"": ""Thriller""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""mystery""}, {""id"": 2, ""name"": ""romance""}, {""id"": 3, ""name"": ""justice""}]",/m702.jpg,es,129,2009-08-13,8.0,21.0,"[{""name"": ""Ricardo Darin""}]","[{""job"": ""Director"", ""name"": ""Juan Jose Campanella""}]"
703,Roma,A housekeeper's life unfolds against personal pain and political upheaval in 1970s Mexico.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""family""}, {""id"": 2, ""name"": ""memory""}, {""id"": 3, ""name"": ""loss""}]",/m703.jpg,es,135,2018-11-21,7.7,18.2,"[{""name"": ""Yalitza Aparicio""}]","[{""job"": ""Director"", ""name"": ""Alfonso Cuaron""}]"
801,Amelie,A shy Paris waitress secretly improves strangers' lives while seeking her own joy.,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""whimsical""}, {""id"": 2, ""name"": ""paris""}, {""id"": 3, ""name"": ""kindness""}]",/m801.jpg,fr,122,2001-04-25,8.3,38.0,"[{""name"": ""Audrey Tautou""}]","[{""job"": ""Director"", ""name"": ""Jean-Pierre Jeunet""}]"
802,The Intouchables,An aristocrat and his ex-con caregiver form an unlikely life-changing friendship.,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""friendship""}, {""id"": 2, ""name"": ""uplifting""}, {""id"": 3, ""name"": ""disability""}]",/m802.jpg,fr,112,2011-11-02,8.3,36.5,"[{""name"": ""Omar Sy""}]","[{""job"": ""Director"", ""name"": ""Olivier Nakache""}]"
901,Run Lola Run,Lola races through Berlin to save her boyfriend in a breathless time-loop thriller.,"[{""id"": 1, ""name"": ""Thriller""}, {""id"": 2, ""name"": ""Action""}]","[{""id"": 1, ""name"": ""time""}, {""id"": 2, ""name"": ""urgency""}, {""id"": 3, ""name"": ""stylish""}]",/m901.jpg,de,80,1998-08-20,7.6,14.5,"[{""name"": ""Franka Potente""}]","[{""job"": ""Director"", ""name"": ""Tom Tykwer""}]"
902,Good Bye Lenin!,A son hides the fall of the Berlin Wall from his fragile socialist mother.,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""family""}, {""id"": 2, ""name"": ""history""}, {""id"": 3, ""name"": ""satire""}]",/m902.jpg,de,121,2003-02-14,7.7,12.8,"[{""name"": ""Daniel Bruhl""}]","[{""job"": ""Director"", ""name"": ""Wolfgang Becker""}]"
1001,In the Mood for Love,Two neighbors bond when they suspect their spouses are having an affair.,"[{""id"": 1, ""name"": ""Romance""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""longing""}, {""id"": 2, ""name"": ""elegant""}, {""id"": 3, ""name"": ""melancholy""}]",/m1001.jpg,zh,98,2000-09-29,8.1,22.0,"[{""name"": ""Maggie Cheung""}]","[{""job"": ""Director"", ""name"": ""Wong Kar-wai""}]"
1002,Crouching Tiger Hidden Dragon,Warriors pursue a stolen sword while hidden passions threaten ancient codes.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""martial arts""}, {""id"": 2, ""name"": ""honor""}, {""id"": 3, ""name"": ""romance""}]",/m1002.jpg,zh,120,2000-12-08,7.6,26.4,"[{""name"": ""Chow Yun-fat""}]","[{""job"": ""Director"", ""name"": ""Ang Lee""}]"
1101,City of God,Youth in a Rio favela chase power and survival through crime and ambition.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""poverty""}, {""id"": 2, ""name"": ""violence""}, {""id"": 3, ""name"": ""youth""}]",/m1101.jpg,pt,130,2002-08-30,8.6,30.5,"[{""name"": ""Alexandre Rodrigues""}]","[{""job"": ""Director"", ""name"": ""Fernando Meirelles""}]"
1201,Cinema Paradiso,A filmmaker remembers the Sicilian projectionist who shaped his childhood love of movies.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""nostalgia""}, {""id"": 2, ""name"": ""cinema""}, {""id"": 3, ""name"": ""friendship""}]",/m1201.jpg,it,155,1988-11-17,8.5,20.1,"[{""name"": ""Philippe Noiret""}]","[{""job"": ""Director"", ""name"": ""Giuseppe Tornatore""}]"
1301,Theeb,A young Bedouin boy is drawn into danger on a desert railway during World War I.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Adventure""}]","[{""id"": 1, ""name"": ""desert""}, {""id"": 2, ""name"": ""coming-of-age""}, {""id"": 3, ""name"": ""survival""}]",/m1301.jpg,ar,100,2014-09-19,7.3,6.5,"[{""name"": ""Jacir Eid Al-Hwietat""}]","[{""job"": ""Director"", ""name"": ""Naji Abu Nowar""}]"
1401,Sairat,Star-crossed lovers flee caste violence but society closes in with brutal force.,"[{""id"": 1, ""name"": ""Romance""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""love""}, {""id"": 2, ""name"": ""caste""}, {""id"": 3, ""name"": ""tragedy""}]",/m1401.jpg,mr,174,2016-04-29,8.2,10.5,"[{""name"": ""Rinku Rajguru""}]","[{""job"": ""Director"", ""name"": ""Nagraj Manjule""}]"
1501,Pather Panchali,A poor rural family endures hardship as their curious son Apu grows up.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""poverty""}, {""id"": 2, ""name"": ""childhood""}, {""id"": 3, ""name"": ""classic""}]",/m1501.jpg,bn,125,1955-08-26,8.3,8.2,"[{""name"": ""Subir Banerjee""}]","[{""job"": ""Director"", ""name"": ""Satyajit Ray""}]"
1601,Kantara,A forest officer clashes with a village ritual defender in a mythic coastal conflict.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""folklore""}, {""id"": 2, ""name"": ""ritual""}, {""id"": 3, ""name"": ""nature""}]",/m1601.jpg,kn,148,2022-09-30,8.2,19.4,"[{""name"": ""Rishab Shetty""}]","[{""job"": ""Director"", ""name"": ""Rishab Shetty""}]"
1701,Chauthi Koot,Stories of fear and resilience unfold during Punjab's turbulent 1980s.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""history""}, {""id"": 2, ""name"": ""fear""}, {""id"": 3, ""name"": ""rural""}]",/m1701.jpg,pa,115,2015-05-19,7.2,4.5,"[{""name"": ""Gurvinder Singh""}]","[{""job"": ""Director"", ""name"": ""Gurvinder Singh""}]"
1801,The Raid,SWAT officers fight floor by floor through a tower controlled by a ruthless crime lord.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""martial arts""}, {""id"": 2, ""name"": ""siege""}, {""id"": 3, ""name"": ""intense""}]",/m1801.jpg,id,101,2011-11-23,7.6,25.0,"[{""name"": ""Iko Uwais""}]","[{""job"": ""Director"", ""name"": ""Gareth Evans""}]"
7,Se7en,Two detectives hunt a serial killer who uses the seven deadly sins as his blueprint.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Thriller""}, {""id"": 3, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""dark""}, {""id"": 2, ""name"": ""serial killer""}, {""id"": 3, ""name"": ""suspense""}]",/m7.jpg,en,127,1995-09-22,8.6,45.0,"[{""name"": ""Brad Pitt""}]","[{""job"": ""Director"", ""name"": ""David Fincher""}]"
8,The Godfather,The aging patriarch of a crime dynasty transfers control to his reluctant son.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""mafia""}, {""id"": 2, ""name"": ""family""}, {""id"": 3, ""name"": ""power""}]",/m8.jpg,en,175,1972-03-24,9.2,58.0,"[{""name"": ""Marlon Brando""}]","[{""job"": ""Director"", ""name"": ""Francis Ford Coppola""}]"
9,Shutter Island,A U.S. Marshal investigates a disappearance at a hospital for the criminally insane.,"[{""id"": 1, ""name"": ""Thriller""}, {""id"": 2, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""twist""}, {""id"": 2, ""name"": ""paranoia""}, {""id"": 3, ""name"": ""investigation""}]",/m9.jpg,en,138,2010-02-19,8.2,36.0,"[{""name"": ""Leonardo DiCaprio""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}]"
10,Knives Out,A master detective unravels a web of lies after a wealthy novelist is found dead.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Comedy""}, {""id"": 3, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""whodunit""}, {""id"": 2, ""name"": ""twist""}, {""id"": 3, ""name"": ""family""}]",/m10.jpg,en,130,2019-11-27,7.9,32.0,"[{""name"": ""Daniel Craig""}]","[{""job"": ""Director"", ""name"": ""Rian Johnson""}]"
11,The Dark Knight,Batman faces the Joker who plunges Gotham into anarchy and moral chaos.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Crime""}, {""id"": 3, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""villain""}, {""id"": 2, ""name"": ""chaos""}, {""id"": 3, ""name"": ""hero""}]",/m11.jpg,en,152,2008-07-18,9.0,55.0,"[{""name"": ""Christian Bale""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}]"
12,Get Out,A young man uncovers disturbing secrets when he meets his girlfriend's family.,"[{""id"": 1, ""name"": ""Horror""}, {""id"": 2, ""name"": ""Thriller""}, {""id"": 3, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""social horror""}, {""id"": 2, ""name"": ""twist""}, {""id"": 3, ""name"": ""suspense""}]",/m12.jpg,en,104,2017-02-24,7.7,28.0,"[{""name"": ""Daniel Kaluuya""}]","[{""job"": ""Director"", ""name"": ""Jordan Peele""}]"
13,Gone Girl,Media frenzy erupts when a man becomes the prime suspect in his wife's disappearance.,"[{""id"": 1, ""name"": ""Thriller""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""marriage""}, {""id"": 2, ""name"": ""media""}, {""id"": 3, ""name"": ""twist""}]",/m13.jpg,en,149,2014-10-03,8.1,30.0,"[{""name"": ""Rosamund Pike""}]","[{""job"": ""Director"", ""name"": ""David Fincher""}]"
14,Prisoners,A desperate father takes matters into his own hands when his daughter vanishes.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""kidnapping""}, {""id"": 2, ""name"": ""moral""}, {""id"": 3, ""name"": ""dark""}]",/m14.jpg,en,153,2013-09-20,8.1,24.0,"[{""name"": ""Hugh Jackman""}]","[{""job"": ""Director"", ""name"": ""Denis Villeneuve""}]"
15,The Silence of the Lambs,An FBI trainee seeks help from a brilliant cannibal killer to catch another murderer.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Horror""}, {""id"": 3, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""serial killer""}, {""id"": 2, ""name"": ""psychological""}, {""id"": 3, ""name"": ""intense""}]",/m15.jpg,en,118,1991-02-14,8.6,40.0,"[{""name"": ""Jodie Foster""}]","[{""job"": ""Director"", ""name"": ""Jonathan Demme""}]"
107,Kahaani,A pregnant woman searches Kolkata for her missing husband and uncovers a conspiracy.,"[{""id"": 1, ""name"": ""Thriller""}, {""id"": 2, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""investigation""}, {""id"": 2, ""name"": ""twist""}, {""id"": 3, ""name"": ""suspense""}]",/m107.jpg,hi,122,2012-03-09,8.1,18.0,"[{""name"": ""Vidya Balan""}]","[{""job"": ""Director"", ""name"": ""Sujoy Ghosh""}]"
108,Gangs of Wasseypur,Generations of a crime family clash in a brutal saga of revenge and power.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Action""}, {""id"": 3, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""revenge""}, {""id"": 2, ""name"": ""gangster""}, {""id"": 3, ""name"": ""epic""}]",/m108.jpg,hi,321,2012-06-22,8.2,22.0,"[{""name"": ""Manoj Bajpayee""}]","[{""job"": ""Director"", ""name"": ""Anurag Kashyap""}]"
109,Tumbbad,A man hunts a mythical treasure guarded by an ancient evil in a cursed village.,"[{""id"": 1, ""name"": ""Horror""}, {""id"": 2, ""name"": ""Fantasy""}, {""id"": 3, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""folklore""}, {""id"": 2, ""name"": ""dark""}, {""id"": 3, ""name"": ""supernatural""}]",/m109.jpg,hi,104,2018-10-12,8.2,14.0,"[{""name"": ""Sohum Shah""}]","[{""job"": ""Director"", ""name"": ""Rahi Anil Barve""}]"
110,Badla,A businesswoman accused of murder rebuilds the case with a cunning lawyer.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Thriller""}, {""id"": 3, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""murder""}, {""id"": 2, ""name"": ""twist""}, {""id"": 3, ""name"": ""investigation""}]",/m110.jpg,hi,118,2019-03-08,7.8,12.0,"[{""name"": ""Taapsee Pannu""}]","[{""job"": ""Director"", ""name"": ""Sujoy Ghosh""}]"
111,Drishyam (Hindi),A father scrambles to protect his family when they become entangled in a crime.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Thriller""}, {""id"": 3, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""family""}, {""id"": 2, ""name"": ""cover-up""}, {""id"": 3, ""name"": ""suspense""}]",/m111.jpg,hi,163,2015-07-31,8.2,20.0,"[{""name"": ""Ajay Devgn""}]","[{""job"": ""Director"", ""name"": ""Nishikant Kamat""}]"
112,Special 26,A con artist and his crew pose as CBI officers to pull off daring heists.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Thriller""}, {""id"": 3, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""heist""}, {""id"": 2, ""name"": ""con""}, {""id"": 3, ""name"": ""twist""}]",/m112.jpg,hi,144,2013-02-07,8.0,16.0,"[{""name"": ""Akshay Kumar""}]","[{""job"": ""Director"", ""name"": ""Neeraj Pandey""}]"
205,Memories of Murder,Detectives hunt a serial killer in 1980s rural Korea with few leads and mounting pressure.,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""serial killer""}, {""id"": 2, ""name"": ""investigation""}, {""id"": 3, ""name"": ""dark""}]",/m205.jpg,ko,132,2003-05-02,8.1,20.0,"[{""name"": ""Song Kang-ho""}]","[{""job"": ""Director"", ""name"": ""Bong Joon-ho""}]"
